frame,person_id,using_phone,grid_row,grid_col
1,0,True,0,4
1,1,True,1,5
1,2,True,1,4
1,3,True,2,0
1,4,True,2,4
1,5,True,2,2
1,6,True,2,6
1,7,True,2,6
1,8,True,3,4
1,9,True,3,5
1,10,True,3,1
1,11,True,3,6
2,0,True,0,4
2,1,True,1,5
2,2,True,1,4
2,3,True,2,0
2,4,True,2,4
2,5,True,2,2
2,6,True,2,6
2,7,True,2,6
2,8,True,3,4
2,9,True,3,5
2,10,True,3,1
2,11,True,3,6
3,0,True,0,4
3,1,True,1,5
3,2,True,1,4
3,3,True,2,0
3,4,False,2,4
3,5,True,2,2
3,6,True,2,6
3,7,True,2,6
3,8,True,3,4
3,9,True,3,5
3,10,True,3,1
3,11,True,3,6
4,0,True,0,4
4,1,True,1,5
4,2,True,1,4
4,3,True,2,0
4,4,False,2,4
4,5,True,2,2
4,6,True,2,6
4,7,True,2,6
4,8,True,3,4
4,9,True,3,5
4,10,True,3,1
4,11,True,3,6
5,0,True,0,4
5,1,True,1,5
5,2,True,1,4
5,3,True,2,0
5,4,False,2,4
5,5,True,2,2
5,6,True,2,6
5,7,True,2,6
5,8,True,3,4
5,9,True,3,5
5,10,True,3,1
5,11,True,3,6
6,0,True,0,4
6,1,True,1,5
6,2,True,1,4
6,3,True,2,0
6,4,False,2,4
6,5,True,2,2
6,6,True,2,6
6,7,True,2,6
6,8,True,3,4
6,9,True,3,5
6,10,True,3,1
6,11,True,3,6
7,0,True,0,4
7,1,True,1,5
7,2,True,1,4
7,3,True,2,0
7,4,False,2,4
7,5,True,2,2
7,6,True,2,6
7,7,True,2,6
7,8,True,3,4
7,9,True,3,5
7,10,True,3,1
7,11,True,3,6
8,0,True,0,4
8,1,True,1,5
8,2,True,1,4
8,3,True,2,0
8,4,False,2,4
8,5,True,2,2
8,6,True,2,6
8,7,True,2,6
8,8,True,3,4
8,9,True,3,5
8,10,True,3,1
8,11,True,3,6
9,0,True,0,4
9,1,True,1,5
9,2,True,1,4
9,3,True,2,0
9,4,False,2,4
9,5,True,2,2
9,6,True,2,6
9,7,True,2,6
9,8,True,3,4
9,9,True,3,5
9,10,True,3,1
9,11,True,3,6
10,0,True,0,4
10,1,True,1,5
10,2,True,1,4
10,3,True,2,0
10,4,False,2,4
10,5,True,2,2
10,6,True,2,6
10,7,True,2,6
10,8,True,3,4
10,9,True,3,5
10,10,True,3,1
10,11,True,3,6
11,0,True,0,4
11,1,True,1,5
11,2,True,1,4
11,3,True,2,0
11,4,False,2,4
11,5,True,2,2
11,6,True,2,6
11,7,True,2,6
11,8,True,3,4
11,9,True,3,5
11,10,True,3,1
11,11,True,3,6
12,0,True,0,4
12,1,True,1,5
12,2,True,1,4
12,3,True,2,0
12,4,False,2,4
12,5,True,2,2
12,6,True,2,6
12,7,True,2,6
12,8,True,3,4
12,9,True,3,5
12,10,True,3,1
12,11,True,3,6
13,0,True,0,4
13,1,True,1,5
13,2,True,1,4
13,3,True,2,0
13,4,False,2,4
13,5,True,2,2
13,6,True,2,6
13,7,True,2,6
13,8,True,3,4
13,9,True,3,5
13,10,True,3,1
13,11,True,3,6
14,0,True,0,4
14,1,True,1,5
14,2,True,1,4
14,3,True,2,0
14,4,False,2,4
14,5,True,2,2
14,6,True,2,6
14,7,True,2,6
14,8,True,3,4
14,9,True,3,5
14,10,True,3,1
14,11,True,3,6
15,0,True,0,4
15,1,True,1,5
15,2,True,1,4
15,3,True,2,0
15,4,False,2,4
15,5,True,2,2
15,6,True,2,6
15,7,True,2,6
15,8,True,3,4
15,9,True,3,5
15,10,True,3,1
15,11,True,3,6
16,0,True,0,4
16,1,True,1,5
16,2,True,1,4
16,3,True,2,0
16,4,False,2,4
16,5,True,2,2
16,6,True,2,6
16,7,True,2,6
16,8,True,3,4
16,9,True,3,5
16,10,True,3,1
16,11,True,3,6
17,0,True,0,4
17,1,True,1,5
17,2,True,1,4
17,3,True,2,0
17,4,False,2,4
17,5,True,2,2
17,6,True,2,6
17,7,True,2,6
17,8,True,3,4
17,9,True,3,5
17,10,True,3,1
17,11,True,3,6
18,0,True,0,4
18,1,True,1,5
18,2,True,1,4
18,3,True,2,0
18,4,False,2,4
18,5,True,2,2
18,6,True,2,6
18,7,True,2,6
18,8,True,3,4
18,9,True,3,5
18,10,True,3,1
18,11,True,3,6
19,0,True,0,4
19,1,True,1,5
19,2,True,1,4
19,3,True,2,0
19,4,False,2,4
19,5,True,2,2
19,6,True,2,6
19,7,True,2,6
19,8,True,3,4
19,9,True,3,5
19,10,True,3,1
19,11,True,3,6
20,0,True,0,4
20,1,True,1,5
20,2,True,1,4
20,3,True,2,0
20,4,False,2,4
20,5,True,2,2
20,6,True,2,6
20,7,True,2,6
20,8,True,3,4
20,9,True,3,5
20,10,True,3,1
20,11,True,3,6
21,0,True,0,4
21,1,True,1,5
21,2,True,1,4
21,3,True,2,0
21,4,False,2,4
21,5,True,2,2
21,6,True,2,6
21,7,True,2,6
21,8,True,3,4
21,9,True,3,5
21,10,True,3,1
21,11,True,3,6
22,0,True,0,4
22,1,True,1,5
22,2,True,1,4
22,3,True,2,0
22,4,False,2,4
22,5,True,2,2
22,6,True,2,6
22,7,True,2,6
22,8,True,3,4
22,9,True,3,5
22,10,True,3,1
22,11,True,3,6
23,0,True,0,4
23,1,True,1,5
23,2,True,1,4
23,3,True,2,0
23,4,False,2,4
23,5,True,2,2
23,6,True,2,6
23,7,True,2,6
23,8,True,3,4
23,9,True,3,5
23,10,True,3,1
23,11,True,3,6
24,0,True,0,4
24,1,True,1,5
24,2,True,1,4
24,3,True,2,0
24,4,True,2,4
24,5,True,2,2
24,6,True,2,6
24,7,True,2,6
24,8,True,3,4
24,9,True,3,5
24,10,True,3,1
24,11,True,3,6
25,0,True,0,4
25,1,True,1,5
25,2,True,1,4
25,3,True,2,0
25,4,True,2,4
25,5,True,2,2
25,6,True,2,6
25,7,True,2,6
25,8,True,3,4
25,9,True,3,5
