frame,person_id,using_phone,grid_row,grid_col
1,0,True,0,3
1,1,True,1,1
1,2,True,1,0
1,3,True,2,0
1,4,True,2,1
1,3,True,2,0
1,5,True,2,3
1,6,True,2,3
1,7,True,3,1
1,8,True,3,3
1,9,True,3,0
1,10,True,3,3
2,0,True,0,2
2,1,True,1,1
2,2,True,1,0
2,3,True,2,0
2,4,True,2,1
2,3,True,2,0
2,5,True,2,3
2,6,True,2,3
2,7,True,3,1
2,8,True,3,3
2,9,True,3,0
2,10,True,3,3
3,0,False,0,2
3,1,True,1,1
3,2,True,1,0
3,3,True,2,0
3,4,True,2,1
3,3,True,2,0
3,5,True,2,3
3,6,True,2,3
3,7,True,3,1
3,8,True,3,3
3,9,True,3,0
3,10,True,3,3
4,0,False,0,2
4,1,True,1,1
4,2,True,1,0
4,3,True,2,0
4,4,True,2,1
4,3,True,2,0
4,5,True,2,3
4,6,True,2,3
4,7,True,3,1
4,8,True,3,3
4,9,True,3,0
4,10,True,3,3
5,0,False,0,2
5,1,True,1,1
5,2,True,1,0
5,3,True,2,0
5,4,True,2,1
5,3,True,2,0
5,5,True,2,3
5,6,True,2,3
5,7,True,3,1
5,8,True,3,3
5,9,True,3,0
5,10,True,3,3
6,0,False,0,3
6,1,True,1,1
6,2,True,1,0
6,3,True,2,0
6,4,True,2,1
6,3,True,2,0
6,5,True,2,3
6,6,True,2,3
6,7,True,3,1
6,8,True,3,3
6,9,True,3,0
6,10,True,3,3
7,0,False,0,3
7,1,True,1,1
7,2,True,1,0
7,3,True,2,0
7,4,True,2,1
7,3,True,2,0
7,5,True,2,3
7,6,True,2,3
7,7,True,3,1
7,8,True,3,3
7,9,True,3,0
7,10,True,3,3
8,0,False,0,3
8,1,True,1,1
8,2,True,1,0
8,3,True,2,0
8,4,True,2,1
8,3,True,2,0
8,5,True,2,3
8,6,True,2,3
8,7,True,3,1
8,8,True,3,3
8,9,True,3,0
8,10,True,3,3
9,0,True,0,3
9,1,True,1,1
9,2,True,1,0
9,3,True,2,0
9,4,True,2,1
9,3,True,2,0
9,5,True,2,3
9,6,True,2,3
9,7,True,3,1
9,8,True,3,3
9,9,True,3,0
9,10,True,3,3
10,0,True,0,3
10,1,True,1,1
10,2,True,1,0
10,3,True,2,0
10,4,True,2,1
10,3,True,2,0
10,5,True,2,3
10,6,True,2,3
10,7,True,3,1
10,8,True,3,3
10,9,True,3,0
10,10,True,3,3
11,0,True,0,3
11,1,True,1,1
11,2,True,1,0
11,3,True,2,0
11,4,True,2,1
11,3,True,2,0
11,5,True,2,3
11,6,True,2,3
11,7,True,3,1
11,8,True,3,3
11,9,True,3,0
11,10,True,3,3
12,0,True,0,3
12,1,True,1,1
12,2,True,1,0
12,3,True,2,0
12,4,True,2,1
12,3,True,2,0
12,5,True,2,3
12,6,True,2,3
12,7,True,3,1
12,8,True,3,3
12,9,True,3,0
12,10,True,3,3
13,0,True,0,3
13,1,True,1,1
13,2,True,1,0
13,3,True,2,0
13,4,True,2,1
13,3,True,2,0
13,5,True,2,3
13,6,True,2,3
13,7,True,3,1
13,8,True,3,3
13,9,True,3,0
13,10,True,3,3
14,0,True,0,3
14,1,True,1,1
14,2,True,1,0
14,3,True,2,0
14,4,True,2,1
14,3,True,2,0
14,5,True,2,3
14,6,True,2,3
14,7,True,3,1
14,8,True,3,3
14,9,True,3,0
14,10,True,3,3
15,0,True,0,3
15,1,True,1,1
15,2,True,1,0
15,3,True,2,0
15,4,True,2,1
15,3,True,2,0
15,5,True,2,3
15,6,True,2,3
15,7,True,3,1
15,8,True,3,3
15,9,True,3,0
15,10,True,3,3
16,0,True,0,3
16,1,True,1,1
16,2,True,1,0
16,3,True,2,0
16,4,True,2,1
16,3,True,2,0
16,5,True,2,3
16,6,True,2,3
16,7,True,3,1
16,8,True,3,3
16,9,True,3,0
16,10,True,3,3
17,0,True,0,3
17,1,True,1,1
17,2,True,1,0
17,3,True,2,0
17,4,True,2,1
17,3,True,2,0
17,5,True,2,3
17,6,True,2,3
17,7,True,3,1
17,8,True,3,3
17,9,True,3,0
17,10,True,3,3
18,0,True,0,3
18,1,True,1,1
18,2,True,1,0
18,3,True,2,0
18,4,True,2,1
18,3,True,2,0
18,5,True,2,3
18,6,True,2,3
18,7,True,3,1
18,8,True,3,3
18,9,True,3,0
18,10,True,3,3
19,0,True,0,3
19,1,True,1,1
19,2,True,1,0
19,3,True,2,0
19,4,True,2,1
19,3,True,2,0
19,5,True,2,3
19,6,True,2,3
19,7,True,3,1
19,8,True,3,3
19,9,True,3,0
19,8,True,3,3
20,0,True,0,3
20,1,True,1,1
20,2,True,1,0
20,3,True,2,0
20,4,True,2,1
20,3,True,2,0
20,5,True,2,3
20,6,True,2,3
20,7,True,3,1
20,8,True,3,3
20,9,True,3,0
20,8,True,3,3
21,0,True,0,3
21,1,True,1,1
21,2,True,1,0
21,3,True,2,0
21,4,True,2,1
21,3,True,2,0
21,5,True,2,3
21,6,True,2,3
21,7,True,3,1
21,8,True,3,3
21,9,True,3,0
21,8,True,3,3
22,0,True,0,3
22,1,True,1,1
22,2,True,1,0
22,3,True,2,0
22,4,True,2,1
22,3,True,2,0
22,5,True,2,3
22,6,True,2,3
22,7,True,3,1
22,8,True,3,3
22,9,True,3,0
22,8,True,3,3
23,0,True,0,3
23,1,True,1,1
23,2,True,1,0
23,3,True,2,0
23,4,True,2,1
23,3,True,2,0
23,5,True,2,3
23,6,True,2,3
23,7,True,3,1
23,8,True,3,3
23,9,True,3,0
23,8,True,3,3
24,0,True,0,3
24,1,True,1,1
24,2,True,1,0
24,3,True,2,0
24,4,True,2,1
24,3,True,2,0
24,5,True,2,3
24,6,True,2,3
24,7,True,3,1
24,8,True,3,3
24,9,True,3,0
24,8,True,3,3
25,0,True,0,3
25,1,True,1,1
25,2,True,1,0
25,3,True,2,0
25,4,True,2,1
25,3,True,2,0
25,5,True,2,3
25,6,True,2,3
25,7,True,3,1
25,8,True,3,3
25,9,True,3,0
25,8,True,3,3
26,0,True,0,3
26,1,True,1,1
26,2,True,1,0
26,3,True,2,0
26,4,True,2,1
26,3,True,2,0
26,5,True,2,3
26,6,True,2,3
26,7,True,3,1
26,8,True,3,3
26,9,True,3,0
26,8,True,3,3
27,0,True,0,3
27,1,True,1,1
27,2,True,1,0
27,3,True,2,0
27,4,True,2,1
27,3,True,2,0
27,5,True,2,3
27,6,True,2,3
27,7,True,3,1
27,8,True,3,3
27,9,True,3,0
27,8,True,3,3
28,0,True,0,3
28,1,True,1,1
28,2,True,1,0
28,3,True,2,0
28,4,True,2,1
28,3,True,2,0
28,5,True,2,3
28,6,True,2,3
28,7,True,3,1
28,8,True,3,3
28,9,True,3,0
28,8,True,3,3
29,0,True,0,3
29,1,True,1,1
29,2,True,1,0
29,3,True,2,0
29,4,True,2,1
29,3,True,2,0
29,5,True,2,3
29,6,True,2,3
29,7,True,3,1
29,8,True,3,3
29,9,True,3,0
29,8,True,3,3
